,,,Families receiving Child Benefit,,,,,,,,,,,,,Families that have opted out of receiving Child Benefit,,,,,,,,,
,,,"Number of families, by size",,,,,,,"Number of children in these families, by age",,,,,,"Number of families, by size",,,,,"Number of children in these families, by age",,,,
Old Code,New Code,Area,Total,One child,Two children,Three children,Four,Five or more children,,Total,Under 5,5-10,11-15,16 and over,,Total,One child,Two children,Three or more children,,Total,Under 5,5-10,11-15,16 and over
,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,E09000001,City of London, 330 , 210 , 100 , 20 , 5 , -   ,, 480 , 120 , 165 , 125 , 70 ,, 120 , 70 , 40 , 5 ,, 175 , 25 , 80 , 65 , 10 
00AB,E09000002,Barking and Dagenham," 34,965 "," 15,440 "," 12,050 "," 5,275 "," 1,680 ", 520 ,," 64,945 "," 17,285 "," 23,205 "," 16,790 "," 7,670 ",, 560 , 290 , 210 , 55 ,, 890 , 165 , 390 , 265 , 75 
00AC,E09000003,Barnet," 40,605 "," 20,195 "," 13,755 "," 4,400 "," 1,405 ", 850 ,," 71,350 "," 17,915 "," 24,950 "," 19,045 "," 9,440 ",," 6,180 "," 2,995 "," 2,475 ", 715 ,," 10,250 "," 1,060 "," 4,535 "," 3,640 "," 1,010 "
00AD,E09000004,Bexley," 28,930 "," 13,700 "," 10,820 "," 3,375 ", 815 , 220 ,," 49,915 "," 12,545 "," 17,220 "," 13,380 "," 6,775 ",," 2,835 "," 1,390 "," 1,220 ", 225 ,," 4,525 ", 715 ," 1,835 "," 1,545 ", 435 
00AE,E09000005,Brent," 41,960 "," 21,015 "," 13,555 "," 4,830 "," 1,680 ", 880 ,," 74,190 "," 19,160 "," 25,160 "," 19,870 "," 9,995 ",," 2,170 "," 1,200 ", 800 , 170 ,," 3,325 ", 455 ," 1,425 "," 1,155 ", 290 
00AF,E09000006,Bromley," 33,275 "," 16,285 "," 12,665 "," 3,320 ", 780 , 225 ,," 55,920 "," 13,820 "," 19,380 "," 15,215 "," 7,505 ",," 8,635 "," 3,950 "," 3,910 ", 775 ,," 14,160 "," 2,830 "," 6,075 "," 4,125 "," 1,125 "
00AG,E09000007,Camden," 16,320 "," 7,945 "," 5,275 "," 2,080 ", 695 , 330 ,," 29,260 "," 6,535 "," 9,715 "," 8,530 "," 4,475 ",," 2,745 "," 1,520 ", 995 , 225 ,," 4,220 ", 510 ," 1,945 "," 1,410 ", 355 
00AH,E09000008,Croydon," 49,510 "," 24,580 "," 16,965 "," 5,775 "," 1,575 ", 615 ,," 85,440 "," 22,420 "," 29,445 "," 22,330 "," 11,250 ",," 3,760 "," 2,070 "," 1,420 ", 270 ,," 5,750 ", 865 ," 2,425 "," 1,915 ", 545 
