gss_code,gss_name,year,population,births,deaths,int_in,int_out,int_net,dom_in,dom_out,dom_net,total_change
E09000001,City of London,2011,7412.758,79,34,899.943,483.185,416.758,886.322,853.88,32.442,494.201
E09000001,City of London,2012,6594.289,56,36,714.392,1516.861,-802.47,850.128,894.461,-44.333,-826.803
E09000001,City of London,2013,5957.695,71,27,624,1152.593,-528.593,627.999,821,-193.001,-677.594
E09000001,City of London,2014,6005.972,68,33,699.832,841.554,-141.723,906.001,768,138.001,31.278
E09000001,City of London,2015,6405.347,63,33,941.17,564.796,376.374,802,809,-7,399.375
E09000001,City of London,2016,6848.75,58,42,928.499,440.096,488.403,745,808.999,-63.999,440.404
E09000001,City of London,2017,7147.601,68,38,756,550.149,205.851,856.001,792,64,299.851
E09000001,City of London,2018,8008.499,66,36,1463.468,557.569,905.898,931.001,1011,-79.999,855.9
E09000001,City of London,2019,7463.233,87.917,40.082,827.73,1116.175,-288.445,887.265,1210.239,-322.974,-563.584
E09000001,City of London,2020,7460.046,69.931,41.538,827.73,783.271,44.459,893.118,978.633,-85.514,-12.663
E09000001,City of London,2021,7486.024,65.187,42.237,827.73,773.502,54.228,896.063,955.505,-59.442,17.736
E09000001,City of London,2022,7544.201,63.016,42.782,827.73,758.749,68.982,898.597,935.887,-37.291,51.926
E09000001,City of London,2023,7607.918,62.67,43.553,827.73,755.125,72.605,901.303,936.114,-34.812,56.91
E09000001,City of London,2024,7676.472,62.712,44.526,827.73,753.916,73.815,903.52,934.242,-30.723,61.278
E09000001,City of London,2025,7746.496,62.734,45.883,827.73,752.357,75.373,906.892,936.103,-29.211,63.014
E09000001,City of London,2026,7815.376,62.936,46.575,827.73,752.53,75.2,910.492,940.133,-29.641,61.921
E09000001,City of London,2027,7883.918,63.201,48.366,827.73,754.151,73.579,915.237,942.022,-26.785,61.63
E09000001,City of London,2028,7949.832,63.496,49.223,827.73,756.101,71.629,920.974,947.844,-26.871,59.032
E09000001,City of London,2029,8015.891,63.878,50.712,827.73,758.809,68.921,926.376,949.288,-22.912,59.175
E09000001,City of London,2030,8080.557,64.271,51.708,827.73,761.021,66.71,931.647,953.14,-21.494,57.779
E09000001,City of London,2031,8143.974,64.673,53.291,827.73,763.881,63.849,937.789,956.465,-18.676,56.556
E09000001,City of London,2032,8206.898,65.139,54.246,827.73,766.289,61.441,942.972,959.227,-16.254,56.08
E09000001,City of London,2033,8268.113,65.627,55.545,827.73,768.175,59.555,948.158,963.381,-15.224,54.413
E09000001,City of London,2034,8326.225,66.135,56.964,827.73,770.303,57.427,952.65,967.916,-15.266,51.332
E09000001,City of London,2035,8382.87,66.617,57.913,827.73,771.721,56.01,957.216,972.038,-14.822,49.892
E09000001,City of London,2036,8438.247,67.15,59.152,827.73,773.535,54.195,960.836,974.43,-13.593,48.6
E09000001,City of London,2037,8491.418,67.641,60.662,827.73,774.869,52.862,964.101,977.587,-13.486,46.353
E09000001,City of London,2038,8543.017,68.053,62.199,827.73,775.559,52.171,967.123,980.385,-13.262,44.764
E09000001,City of London,2039,8591.502,68.438,63.313,827.73,776.637,51.094,969.181,983.796,-14.615,41.603
E09000001,City of London,2040,8638.95,68.706,64.019,827.73,777.362,50.369,971.131,985.644,-14.513,40.543
E09000001,City of London,2041,8685.049,68.934,64.681,827.73,777.781,49.949,973.29,988.345,-15.056,39.147
E09000001,City of London,2042,8730.086,69.09,65.07,827.73,778.568,49.162,975.698,990.783,-15.085,38.098
E09000001,City of London,2043,8774.938,69.232,65.486,827.73,779.327,48.404,977.722,991.988,-14.265,37.885
E09000001,City of London,2044,8817.872,69.306,66.224,827.73,779.89,47.841,979.578,994.555,-14.977,35.946
E09000001,City of London,2045,8858.591,69.381,66.789,827.73,780.854,46.876,981.437,997.181,-15.743,33.725
E09000001,City of London,2046,8898.322,69.391,67.32,827.73,781.076,46.655,982.899,998.853,-15.954,32.772
E09000001,City of London,2047,8936.449,69.445,67.941,827.73,781.684,46.046,984.685,1001.05,-16.365,31.185
E09000001,City of London,2048,8972.933,69.499,68.599,827.73,782.291,45.44,986.228,1003.017,-16.789,29.55
E09000001,City of London,2049,9008.115,69.539,69.091,827.73,782.98,44.75,987.765,1004.717,-16.952,28.246
E09000001,City of London,2050,9042.039,69.56,69.766,827.73,783.447,44.283,989.336,1006.392,-17.056,27.02
E09000002,Barking and Dagenham,2011,187415.955,3695,1208,3878.361,917.406,2960.955,10844.316,11485.699,-641.382,4806.573
E09000002,Barking and Dagenham,2012,189589.519,3797,1285,2561.566,2358.002,203.564,11974.661,12523.159,-548.498,2167.066
E09000002,Barking and Dagenham,2013,193447.573,3866,1235,2605.153,1144.1,1461.054,12353.999,12612.001,-258.001,3834.052
E09000002,Barking and Dagenham,2014,197681.563,3699,1190,3782.297,938.307,2843.99,12928.005,14046,-1117.996,4234.995
E09000002,Barking and Dagenham,2015,202259.334,3697,1341,4319.579,913.808,3405.771,12923.013,14099.001,-1175.987,4585.784
E09000002,Barking and Dagenham,2016,207176.796,3993,1229,4875.603,1153.141,3722.462,12687.005,14262.999,-1575.994,4910.468
E09000002,Barking and Dagenham,2017,209693.27,3894,1223,4506.857,1303.383,3203.474,13680.998,17037,-3356.002,2518.472
E09000002,Barking and Dagenham,2018,214162.276,3820,1273,7130.354,1080.348,6050.005,14257.998,18401.001,-4143.003,4454.002
E09000002,Barking and Dagenham,2019,217711.295,3757.14,1245.155,4121.677,1216.842,2904.835,13007.057,14874.858,-1867.801,3549.02
E09000002,Barking and Dagenham,2020,221128.547,3798.728,1281.571,4121.677,1227.754,2893.923,13095.007,15088.835,-1993.828,3417.252
E09000002,Barking and Dagenham,2021,224432.99,3805.737,1261.669,4121.677,1241.83,2879.847,13173.478,15292.949,-2119.471,3304.443
E09000002,Barking and Dagenham,2022,227611.444,3813.209,1253.25,4121.677,1254.195,2867.482,13242.325,15491.313,-2248.987,3178.453
E09000002,Barking and Dagenham,2023,230639.994,3835.876,1242.964,4121.677,1267.133,2854.544,13307.902,15726.808,-2418.906,3028.55
E09000002,Barking and Dagenham,2024,233524.099,3875.208,1237.379,4121.677,1283.428,2838.249,13373.861,15965.833,-2591.973,2884.105
