Old Code,New Code,Area,Total_families,Total_children,Families_optedout,,,,,,,,,
00AA,E09000001,City of London,330,480,120,,,,,,,,,
00AB,E09000002,Barking and Dagenham,"34,965","64,945",560,,,,,,,,,
00AC,E09000003,Barnet,"40,605","71,350","6,180",,,,,,,,,
00AD,E09000004,Bexley,"28,930","49,915","2,835",,,,,,,,,
00AE,E09000005,Brent,"41,960","74,190","2,170",,,,,,,,,
00AF,E09000006,Bromley,"33,275","55,920","8,635",,,,,,,,,
00AG,E09000007,Camden,"16,320","29,260","2,745",,,,,,,,,
00AH,E09000008,Croydon,"49,510","85,440","3,760",,,,,,,,,
00AJ,E09000009,Ealing,"41,935","73,500","4,075",,,,,,,,,
00AK,E09000010,Enfield,"46,395","82,435","2,885",,,,,,,,,
00AL,E09000011,Greenwich,"34,055","60,535","2,700",,,,,,,,,
00AM,E09000012,Hackney,"30,585","60,475","1,835",,,,,,,,,
00AN,E09000013,Hammersmith and Fulham,"13,870","24,065","3,025",,,,,,,,,
00AP,E09000014,Haringey,"31,105","53,880","3,175",,,,,,,,,
00AQ,E09000015,Harrow,"29,530","51,210","3,235",,,,,,,,,
00AR,E09000016,Havering,"29,440","50,620","2,880",,,,,,,,,
00AS,E09000017,Hillingdon,"37,240","65,520","3,085",,,,,,,,,
00AT,E09000018,Hounslow,"34,665","59,765","2,650",,,,,,,,,
00AU,E09000019,Islington,"19,025","33,140","2,400",,,,,,,,,
00AW,E09000020,Kensington and Chelsea,"8,150","13,535","1,960",,,,,,,,,
00AX,E09000021,Kingston upon Thames,"15,620","26,120","4,085",,,,,,,,,
00AY,E09000022,Lambeth,"31,305","53,710","3,440",,,,,,,,,
00AZ,E09000023,Lewisham,"36,145","61,730","3,265",,,,,,,,,
00BA,E09000024,Merton,"22,620","38,290","3,970",,,,,,,,,
00BB,E09000025,Newham,"48,340","88,230",875,,,,,,,,,
00BC,E09000026,Redbridge,"38,155","67,390","3,520",,,,,,,,,
00BD,E09000027,Richmond upon Thames,"14,975","24,340","7,075",,,,,,,,,
00BE,E09000028,Southwark,"31,575","55,135","3,190",,,,,,,,,
00BF,E09000029,Sutton,"24,150","40,330","2,920",,,,,,,,,
00BG,E09000030,Tower Hamlets,"30,910","61,615","1,405",,,,,,,,,
00BH,E09000031,Waltham Forest,"36,740","63,650","2,020",,,,,,,,,
00BJ,E09000032,Wandsworth,"24,555","42,420","7,400",,,,,,,,,
00BK,E09000033,Westminster,"13,925","24,100","1,990",,,,,,,,,
,,,,,,,,,,,,,,
A,E12000001,North East,"298,875","510,870","11,830",,,,,,,,,
B,E12000002,North West,"850,390","1,492,910","40,605",,,,,,,,,
D,E12000003,Yorkshire and The Humber,"632,440","1,116,855","28,455",,,,,,,,,
E,E12000004,East Midlands,"540,340","936,050","29,760",,,,,,,,,
F,E12000005,West Midlands,"687,765","1,236,625","32,225",,,,,,,,,
G,E12000006,East ,"670,950","1,160,500","71,315",,,,,,,,,
H,E12000007,London,"970,900","1,707,250","106,070",,,,,,,,,
J,E12000008,South East,"930,375","1,598,185","129,050",,,,,,,,,
K,E12000009,South West,"584,060","1,005,240","36,720",,,,,,,,,
,,,,,,,,,,,,,,
924,W92000004,Wales,"349,165","602,410","12,020",,,,,,,,,
923,S92000003,Scotland,"556,825","919,430","38,765",,,,,,,,,
922,N92000002,Northern Ireland,"233,920","429,165","6,930",,,,,,,,,
,,Foreign and Unknown,"19,840","30,620","1,590",,,,,,,,,
,,,,,,,,,,,,,,
921,E92000001,England,"6,166,095","10,764,480","486,035",,,,,,,,,
926,K02000001,United Kingdom,"7,325,845","12,746,110","545,340",,,,,,,,,
