Code,Area,numerator,denominator,percent,conf
E09000001,City of London,8300,8300,100,-
E09000002,Barking and Dagenham,"73,300","91,100",80.5,4.1
E09000003,Barnet,"173,500","198,100",87.6,3.3
E09000004,Bexley,"104,600","122,600",85.3,3.4
E09000005,Brent,"130,600","160,600",81.3,3.6
E09000006,Bromley,"144,000","164,500",87.5,3.3
E09000007,Camden,"117,700","128,300",91.8,2.9
E09000008,Croydon,"168,300","192,600",87.4,3.1
E09000009,Ealing,"164,000","185,600",88.3,3.5
E09000010,Enfield,"134,100","154,900",86.6,3.7
E09000011,Greenwich,"125,900","141,600",88.9,3.2
E09000012,Hackney,"138,400","150,700",91.9,2.8
E09000013,Hammersmith and Fulham,"94,700","105,500",89.7,3.4
E09000014,Haringey,"124,600","139,700",89.2,2.9
E09000015,Harrow,"112,300","133,400",84.2,3.6
E09000016,Havering,"105,900","123,000",86.1,3.5
E09000017,Hillingdon,"125,200","154,400",81.1,3.9
E09000018,Hounslow,"129,600","143,700",90.2,3.4
E09000019,Islington,"128,800","139,800",92.1,2.7
E09000020,Kensington and Chelsea,"69,800","77,700",89.7,3.4
E09000021,Kingston upon Thames,"83,600","93,900",89.1,3.2
E09000022,Lambeth,"185,800","205,600",90.4,3.4
E09000023,Lewisham,"160,900","177,400",90.7,2.9
E09000024,Merton,"104,200","117,100",89,3.4
E09000025,Newham,"146,100","169,600",86.1,3.8
E09000026,Redbridge,"126,800","145,300",87.3,3.1
E09000027,Richmond upon Thames,"91,800","103,300",88.9,3.3
E09000028,Southwark,"173,400","188,900",91.8,2.7
E09000029,Sutton,"95,700","108,300",88.3,3.3
E09000030,Tower Hamlets,"131,900","144,000",91.6,3.2
E09000031,Waltham Forest,"122,800","148,200",82.9,3.8
E09000032,Wandsworth,"168,000","188,500",89.1,3.4
E09000033,Westminster,"110,100","118,300",93.1,2.8
,,,,,
E13000001,Inner London,"1,758,600","1,942,400",90.5,0.9
E13000002,Outer London,"2,316,300","2,682,400",86.4,0.8
,,,,,
E12000001,North East,"945,600","1,193,800",79.2,0.9
E12000002,North West,"2,700,000","3,382,500",79.8,0.6
E12000003,Yorkshire and The Humber,"1,998,400","2,555,800",78.2,0.8
E12000004,East Midlands,"1,691,200","2,246,800",75.3,1.1
E12000005,West Midlands,"2,059,000","2,679,100",76.9,0.8
E12000006,East,"2,418,700","3,040,700",79.5,0.8
E12000007,London,"4,074,900","4,624,800",88.1,0.6
E12000008,South East,"3,717,400","4,571,200",81.3,0.6
E12000009,South West,"2,188,700","2,758,800",79.3,0.7
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
