,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
GEOUNIT_CD,GEOUNIT_NM,Data1Yr1,Data1Yr2,Data1Yr3,Data1Yr4,Data1Yr5,Data1Yr6,Data1Yr7,Data1Yr8,Data1Yr9,Data1Yr10,Data1Yr11,Data1Yr12,Data1Yr13,Data1Yr14,Data1Yr15,Data1Yr16,Data1Yr17,Data1Yr18,Data1Yr19,Data1Yr20
UKC11,Hartlepool and Stockton-on-Tees,11985,12716,12762,12938,13580,14567,15477,16479,16967,17408,17502,18122,17404,17617,17935,18182,19316,19472,19469,20020
UKC12,South Teesside,10194,10819,10990,10902,11690,12304,13715,14208,14600,15265,15545,15628,16162,16056,15861,16393,16225,16504,16592,16857
UKC13,Darlington,14213,14930,15487,17007,18634,20210,20750,20482,21569,22313,22525,21722,22400,22869,23244,22741,24736,26164,24954,25041
UKC14,Durham CC,9390,9490,9990,10269,10874,11475,11969,12512,13337,13807,14261,14385,14487,14270,14828,15352,15335,16135,16141,16617
UKC21,Northumberland,10552,10137,10645,10800,11867,12419,12876,13384,14064,14254,14556,14099,14136,14412,14696,14890,15898,15893,15994,16408
UKC22,Tyneside,12288,12593,12996,13814,14918,15652,17140,18062,19055,19215,19709,19138,19435,20369,20718,20719,21218,21900,22496,23109
UKC23,Sunderland,11513,11260,11834,12767,13732,14460,15719,17069,17447,17920,17933,17790,17344,17475,18283,19139,20502,21199,22256,23373
UKD11,West Cumbria,12704,12757,12179,12029,12856,13645,13902,14257,15890,16139,17223,17746,17830,18376,18891,19876,20647,21939,21602,21919
UKD12,East Cumbria,13780,14021,14509,14736,15780,17515,17898,18285,19598,20223,21213,20110,20706,20310,21358,22203,23211,24574,24459,24347
UKD33,Manchester,18291,19323,19611,21521,22879,23562,25127,26258,27790,29018,28854,29310,29331,28717,29712,31398,32608,33148,34903,36136
UKD34,Greater Manchester South West,15632,16461,17172,18523,19617,20331,21594,22663,23830,24756,24944,25004,25124,25036,25701,27059,27506,28324,29037,29858
UKD35,Greater Manchester South East,12940,13629,14372,15074,15946,16416,17236,18068,18707,19590,19935,19836,19853,19743,20364,20146,19794,19978,20103,20537
UKD36,Greater Manchester North West,10251,10597,10718,11077,11582,12229,12430,13447,14020,14573,14739,14237,14422,14280,14909,15283,15581,16206,16733,17209
UKD37,Greater Manchester North East,10389,10716,10809,11169,11715,12447,12594,13601,14217,14720,14653,14338,14472,14564,15231,15587,15846,16735,16963,17292
UKD41,Blackburn with Darwen,11553,12034,12208,12141,12647,13478,14513,14699,14933,15943,16485,15362,15125,16098,16733,17396,18379,18769,19793,20525
UKD42,Blackpool,10575,11416,11423,11559,12769,12726,13213,13706,14357,14175,13688,13932,14622,14910,14998,15109,15350,16119,16621,17309
UKD44,Lancaster and Wyre,11120,11479,11513,11952,12581,13921,14943,15274,15923,16626,16851,15746,15846,15840,16172,16491,17255,18009,18118,18482
UKD45,Mid Lancashire,15882,16512,16819,17409,18152,19575,20649,21105,21668,22820,22980,22589,23024,23102,23628,24527,24725,28408,30479,31053
UKD46,East Lancashire,11417,11814,12065,12394,12979,14030,14937,15280,15629,16230,15779,14697,15301,15735,16453,16900,17394,17258,18094,18564
UKD47,Chorley and West Lancashire,11565,11906,12154,12627,13411,14551,15408,15654,16030,16626,16598,16000,16411,16631,16950,16932,17633,17845,18589,18701
UKD61,Warrington,17654,18425,19340,21326,22458,23524,23834,25671,27477,28105,27033,26701,27865,27280,29646,29539,31042,30085,31223,32654
UKD62,Cheshire East,16652,17329,17399,20576,21172,21406,22286,22754,24602,25787,25821,25695,26038,26981,29021,30984,32114,32505,34050,36201
UKD63,Cheshire West and Chester,15698,16913,16673,18004,19002,19569,20428,21288,22703,24188,24138,25204,25275,24810,25198,25412,26761,27653,29251,30677
UKD71,East Merseyside,10852,11413,11866,12953,13627,14774,15287,16075,17117,17582,18418,18154,19209,19595,19377,19866,21247,22125,21864,23177
