Code,Borough,2009,2010,2011,2012,2013,2014,2015,,2009,2010,2011,2012,2013,2014,2015
E09000001,City of London,0,0,10,0,10,0,0,,0.6,0.2,0.9,0.3,2.9,0,0
E09000002,Barking & Dagenham,550,480,510,430,460,460,460,,7.9,6.9,6.6,5.4,5.8,5.7,5.8
E09000003,Barnet,380,350,410,350,230,250,220,,3.8,3.6,4.1,3.5,2.3,2.5,2
E09000004,Bexley,330,300,300,340,360,290,240,,5,4.6,3.4,4,4.2,3.4,2.8
E09000005,Brent,320,320,400,250,300,280,240,,4.6,5,3.9,2.4,3,2.6,2.2
E09000006,Bromley,450,450,550,430,630,450,360,,4.2,4.3,5.2,4.1,5.8,4.3,3.4
E09000007,Camden,300,310,300,460,190,190,190,,5.5,6.4,7.2,10.2,4.3,4.4,4.4
E09000008,Croydon,680,560,770,550,450,470,400,,6.9,6.6,6.1,4.4,3,3.3,2.9
E09000009,Ealing,310,290,320,340,340,320,350,,4.9,4.4,3.2,3.3,3.3,3,3.2
E09000010,Enfield,530,470,490,500,500,380,440,,6.1,5.8,4.2,4.2,4.2,3.1,3.5
E09000011,Greenwich,410,380,410,570,540,420,520,,6.6,6.2,4.9,6.9,6.5,5,6.2
E09000012,Hackney,310,280,270,530,250,230,190,,7.4,6.2,3.9,7,3.2,3,2.5
E09000013,Hammersmith & Fulham,190,160,160,130,110,90,80,,5.6,5.2,4.6,3.9,3.2,2.5,2.4
E09000014,Haringey,330,310,320,290,280,300,290,,6.8,6.6,4.3,3.7,3.5,3.5,3.6
E09000015,Harrow,180,160,180,150,140,120,120,,2.9,2.7,2.5,2,1.8,1.5,1.4
E09000016,Havering,420,350,400,410,380,350,300,,4.7,4,4.5,4.7,4.3,4,3.4
E09000017,Hillingdon,460,390,340,320,320,230,280,,5.4,4.6,3.9,3.6,3.5,2.4,2.8
E09000018,Hounslow,310,290,320,330,320,260,210,,4.7,4.6,4.4,4.4,4.1,3.2,2.5
E09000019,Islington,420,390,420,470,260,270,110,,7.3,6.2,8.4,8.8,5,5.2,2.2
E09000020,Kensington & Chelsea,120,150,130,190,100,70,60,,5,5.3,6.9,8.6,5.1,3.6,3.1
E09000021,Kingston upon Thames,170,140,150,160,190,190,130,,3.4,3.1,3.3,3.6,4.2,3.9,2.6
E09000022,Lambeth,320,310,270,590,220,180,160,,7.6,7.4,3.6,7.5,2.7,2.2,2
E09000023,Lewisham,420,380,470,270,320,320,280,,4.9,4.7,5.1,3,3.5,3.5,3.2
E09000024,Merton,150,160,260,230,270,250,210,,5.6,5.5,4.6,4,4.6,4.3,3.5
E09000025,Newham,540,500,520,610,460,490,420,,6.7,6.4,4.6,5.3,4,4.3,3.7
E09000026,Redbridge,360,340,410,370,360,350,350,,4.1,4.1,4,3.6,3.4,3.3,3.3
E09000027,Richmond upon Thames,120,120,180,140,170,170,130,,3.5,3.8,5.2,3.9,4.5,4.3,3.1
E09000028,Southwark,310,290,330,640,250,160,180,,8.7,8.4,4.4,7.7,2.9,2,2.2
E09000029,Sutton,290,270,280,280,290,230,170,,4.4,4.2,4.2,3.9,4,3.2,2.4
E09000030,Tower Hamlets,330,290,370,380,360,270,280,,6,5.3,5,4.9,4.6,3.4,3.4
E09000031,Waltham Forest,370,310,330,340,300,270,260,,4.5,4.2,3.6,3.7,3.3,3,3
E09000032,Wandsworth,300,320,260,410,210,170,180,,4.3,4.5,5.1,7.1,3.5,2.9,3
E09000033,Westminster,200,220,170,280,140,80,60,,4.6,4.1,5.1,7.5,3.8,2.2,1.7
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
