,,A:agriculture and fishing,,,,"B,D,E:energy and water",,,,C:manufacturing,,,,F:construction,,,,"G,I:distribution, hotels and restaurants",,,,"H,J:transport and communications",,,,"K-N:banking, finance and insurance",,,,O-Q:public admin. education and health,,,,R-U:other services,,,,G-Q:total services,,,
Code,Area,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,!,8300,!,!,!,8300,!,!,!,8300,!,!,!,8300,!,!,!,8300,!,!,!,8300,!,!,3300,8300,39.9,*,!,8300,!,!,!,8300,!,!,8300,8300,100,-
E09000002,Barking and Dagenham,!,"91,100",!,!,"1,800","91,100",1.9,*,"6,200","91,100",6.8,2.6,"9,000","91,100",9.9,3.1,"21,900","91,100",24.0,4.4,"8,300","91,100",9.1,3.0,"14,200","91,100",15.6,3.7,"22,900","91,100",25.1,4.5,"6,100","91,100",6.7,2.6,"73,300","91,100",80.5,4.1
E09000003,Barnet,!,"198,100",!,!,!,"198,100",!,!,"5,300","198,100",2.7,1.6,"17,700","198,100",8.9,2.9,"30,100","198,100",15.2,3.6,"14,900","198,100",7.5,2.7,"58,900","198,100",29.8,4.6,"56,100","198,100",28.3,4.5,"13,500","198,100",6.8,2.5,"173,500","198,100",87.6,3.3
E09000004,Bexley,!,"122,600",!,!,"1,200","122,600",1.0,*,"3,900","122,600",3.2,1.7,"12,200","122,600",9.9,2.9,"19,900","122,600",16.2,3.5,"11,300","122,600",9.2,2.8,"27,900","122,600",22.8,4.0,"36,800","122,600",30.0,4.4,"8,700","122,600",7.1,2.5,"104,600","122,600",85.3,3.4
E09000005,Brent,!,"160,600",!,!,!,"160,600",!,!,"7,900","160,600",4.9,2.0,"20,700","160,600",12.9,3.1,"36,000","160,600",22.4,3.9,"20,900","160,600",13.0,3.1,"28,800","160,600",17.9,3.6,"33,300","160,600",20.7,3.8,"11,600","160,600",7.2,2.4,"130,600","160,600",81.3,3.6
E09000006,Bromley,!,"164,500",!,!,"2,400","164,500",1.5,*,"5,700","164,500",3.5,1.8,"11,400","164,500",6.9,2.5,"23,200","164,500",14.1,3.5,"15,100","164,500",9.2,2.9,"45,700","164,500",27.8,4.5,"49,400","164,500",30.0,4.6,"10,600","164,500",6.4,2.5,"144,000","164,500",87.5,3.3
E09000007,Camden,!,"128,300",!,!,!,"128,300",!,!,"2,800","128,300",2.1,*,"4,800","128,300",3.8,2.0,"18,300","128,300",14.2,3.7,"13,300","128,300",10.4,3.3,"47,300","128,300",36.9,5.2,"28,400","128,300",22.2,4.4,"10,400","128,300",8.1,2.9,"117,700","128,300",91.8,2.9
E09000008,Croydon,!,"192,600",!,!,!,"192,600",!,!,"6,000","192,600",3.1,1.6,"17,200","192,600",8.9,2.7,"30,300","192,600",15.8,3.4,"20,300","192,600",10.5,2.9,"43,300","192,600",22.5,3.9,"60,300","192,600",31.3,4.3,"14,100","192,600",7.3,2.4,"168,300","192,600",87.4,3.1
