Code,Area,Nov-08,Feb-09,May-09,Aug-09,Nov-09,Feb-10,May-10,Aug-10,Nov-10,Feb-11,May-11,Aug-11,Nov-11,Feb-12,May-12,Aug-12,Nov-12,Feb-13,May-13,Aug-13,Nov-13,Feb-14,May-14,Aug-14,Nov-14,Feb-15,May-15,Aug-15,Nov-15,Feb-16,May-16,Aug-16,Nov-16,Feb-17,May-17,Aug-17,Nov-17,Feb-18,May-18,Aug-18,Nov-18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,~,10,10,20,20,30,40,40,40,40,40,40,40,40,50,60,70,70,80,90,110,110,120,120,130,130,140,130,130,130,140,150,150,150,140,140,140,130,120,120,110
E09000002,Barking and Dagenham,160,570,"1,010","1,300","1,470","1,670","1,840","2,010","2,150","2,320","2,480","2,740","3,130","3,530","3,970","4,470","4,890","5,160","5,680","6,120","6,470","6,840","7,160","7,610","8,010","8,270","8,230","8,080","7,860","7,700","7,710","7,790","7,700","7,690","7,540","7,550","7,400","7,330","7,070","6,820","6,530"
E09000003,Barnet,190,640,"1,130","1,510","1,790","2,040","2,290","2,500","2,710","2,870","3,000","3,360","3,890","4,550","5,150","5,640","6,360","6,960","7,570","7,890","8,090","8,470","8,770","9,280","9,630","9,930","10,070","10,020","9,830","9,860","9,800","9,940","9,930","9,860","9,870","9,840","9,850","9,890","9,730","9,380","9,020"
E09000004,Bexley,140,460,800,"1,050","1,160","1,370","1,560","1,740","1,830","1,980","2,130","2,350","2,650","3,090","3,480","3,730","4,030","4,440","4,870","5,160","5,370","5,720","5,830","6,110","6,310","6,410","6,390","6,360","6,320","6,340","6,410","6,440","6,430","6,470","6,380","6,360","6,340","6,350","6,460","6,490","6,230"
E09000005,Brent,230,790,"1,380","1,860","2,090","2,310","2,580","2,860","3,030","3,220","3,430","3,830","4,540","5,310","6,000","6,700","7,320","8,030","8,610","9,030","9,380","9,730","10,060","10,570","10,920","11,240","11,220","11,020","10,690","10,780","10,950","10,880","10,750","10,720","10,560","10,600","10,680","10,670","10,770","10,860","10,790"
E09000006,Bromley,180,590,970,"1,290","1,540","1,780","1,890","1,970","2,070","2,210","2,260","2,520","2,940","3,370","3,840","4,320","4,930","5,330","5,860","6,230","6,530","6,820","7,100","7,370","7,530","7,740","7,880","7,810","7,770","7,770","7,820","8,040","8,040","7,980","7,910","7,910","7,890","7,870","7,920","7,840","7,430"
E09000007,Camden,160,540,920,"1,210","1,430","1,620","1,780","1,970","2,100","2,310","2,450","2,750","3,310","3,900","4,480","5,070","5,960","6,570","7,270","7,870","8,150","8,610","8,920","9,370","9,720","9,910","10,000","9,980","9,920","9,790","9,740","9,730","9,840","9,800","9,730","9,780","9,650","9,620","9,720","9,780","9,600"
E09000008,Croydon,280,840,"1,400","1,960","2,270","2,580","2,800","3,030","3,250","3,460","3,550","3,980","4,620","5,360","6,050","6,790","7,730","8,310","9,090","9,720","10,180","10,650","11,030","11,590","11,940","12,230","12,330","12,190","11,940","11,650","11,240","10,920","10,510","10,180","9,840","9,490","9,130","8,880","8,690","8,570","8,360"
E09000009,Ealing,200,800,"1,300","1,720","1,980","2,290","2,510","2,710","2,890","3,200","3,390","3,780","4,430","5,130","5,800","6,580","7,360","7,960","8,680","9,280","9,540","10,010","10,330","10,810","11,080","11,340","11,390","11,340","11,090","10,860","10,750","10,710","10,760","10,710","10,460","10,480","10,390","10,320","9,940","9,590","9,250"
