Data for Google Motion Chart. ,,,,,,,,,,
< Return to Front Sheet,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Borough,Year,Inner or Outer London,% 16-24 with NVQ1 or lower,% achieving 5 A*-C GCSE's inc. English & Maths  (maintained schools),% pupils attending independent schools (school location),% of 16-64 in emp in managerial/professional/technical occs,% aged 18-24 in full time education,% 16-24 with NVQ3+,% pupils achieving 5 A*-C GCSE's (maintained schools),% 19 year olds achieving level 3 qualifications (maintained schools)
Barking and Dagenham,2005,Outer,40.8,37.7,0,32.1,19.9,29.4,55.8,27.1
Barking and Dagenham,2006,Outer,41.7,39.7,0.2,27.3,19.5,23.8,58.7,29.4
Barking and Dagenham,2007,Outer,38.1,39.2,0.2,28.8,24.4,30.1,58.4,30
Barking and Dagenham,2008,Outer,39.1,45.1,0.3,30.2,23.4,26.8,67.4,31.8
Barking and Dagenham,2009,Outer,27.4,51.6,0.3,36.1,35.3,42.7,76.5,35.8
Barking and Dagenham,2010,Outer,33.1,56.6,0,33.5,21.7,33.4,80.7,40.3
Barnet,2005,Outer,21,55.9,12.4,58.7,45,53.2,65.5,56.8
Barnet,2006,Outer,15.8,59.7,12.4,53.4,27.3,46.7,70.1,58.7
Barnet,2007,Outer,26.5,61.1,12.4,60.3,46.9,42.6,73.8,61
Barnet,2008,Outer,23.7,61.4,12.3,59.4,43.6,53.7,76.9,60.2
Barnet,2009,Outer,18.8,67.3,12.2,58,41.4,44.7,83.2,64
Barnet,2010,Outer,26,67.5,11.8,56.6,42.6,54.6,85.6,65.1
Bexley,2005,Outer,33.2,50.3,1.8,40.5,30.4,33.8,64.2,39.6
Bexley,2006,Outer,35.9,49.7,1.8,42.8,20,33.6,62.4,40.6
Bexley,2007,Outer,38,51.4,1.7,40,26.2,26.8,64,42.9
Bexley,2008,Outer,24.9,57.3,1.6,43.8,16.8,42.3,72.5,42.4
Bexley,2009,Outer,23.7,59.8,1.4,45.1,21.9,45.5,81.1,48.5
